tag,name,trophies,explevel,arena,clan
#UR29YCRCL,Shivam,10146,62,Lumberlove Cabin,INDIANS
#28CPU9Y8P,JayZz,10000,70,Lumberlove Cabin,INDIANS
#UJ80U9J29,DarkWake,10000,58,Lumberlove Cabin,Office Blues
#GVJY2UG,™THE IMM◎®T@L★♡,10897,71,Royal Road,INDIANS
#QVUPCU0VU,Red Headed Crew,10000,54,Lumberlove Cabin,No Clan
#8CC92QRR,♥️ HANDSOME ♥️,10000,73,Lumberlove Cabin,CR_INDIA
#8GYLVR8Q,Avi,10000,68,Lumberlove Cabin,CR_INDIA
#90PGRGUC2,CR fan,10320,67,Lumberlove Cabin,TAMIL WARRIORS
#CQQJY9PR,$ui¢ideboy$,10389,62,Lumberlove Cabin,CR_INDIA
#Y9QYJJP,Thanos,10141,67,Lumberlove Cabin,Saiyajins
#QR8LL8LY,Aaryav,10505,59,Royal Road,No Clan
#GRLVU98P2,ALL MIGHTY,10061,65,Lumberlove Cabin,CR_INDIA
#Y80JY0V,Lucifer,10058,62,Lumberlove Cabin,T3RMINATOR — X
#2YYQJ9Q88,KAKAROT,10000,64,Lumberlove Cabin,No Clan
#9L9JYR9GQ,Oriental AAKASH,10512,71,Royal Road,CR_INDIA
#GU2CRC8L2,mr.jogi,10351,66,Lumberlove Cabin,CR_INDIA
#9YCCPP0Q,Pk!!!?,10030,59,Lumberlove Cabin,CR_INDIA
#9U92YUC0Q,PABLOGIRL,10000,63,Lumberlove Cabin,No Clan
#82QCU2JC,L3G3NDj,10144,54,Lumberlove Cabin,CR_INDIA
#PC0889GL,Kira,10000,57,Legendary Arena,No Clan
#GU2V8JQG,lemon chus le,10137,55,Lumberlove Cabin,BEG FOR MERCY 2
#CUCR082PG,Kabhoom,10212,67,Lumberlove Cabin,HARD INDIANS...
#Y2G92RL,hon3y,10118,51,Lumberlove Cabin,ThE DugouT
#88G88LUVR,LUISTENDO,10594,71,Royal Road,CR_INDIA
#GLRYP02GG,crlegends,10543,63,Royal Road,CR_INDIA
#8JV9RCGRC,harman167,10030,65,Lumberlove Cabin,No Clan
#QG9YVPRL0,IAMBADNINJA,10083,57,Lumberlove Cabin,COBRA KAI
#909QC0CQ,Rajput,10060,65,Lumberlove Cabin,CR_INDIA
#Q0YYR9QL2,Arnav op,10500,68,Royal Road,The Titans Zonk
#J8GGQVYR2,pushkar,10123,60,Lumberlove Cabin,No Clan
#2LPLJ0JGJ,jay,10000,58,Lumberlove Cabin,No Clan
#L8QUQ9RYQ,DARKRAY,10500,67,Royal Road,CR_INDIA
#VUCGP0R9,Rony Patel,10295,61,Lumberlove Cabin,BeASt_CLasHer
#8CCPU9JVL,HighBulba,10000,69,Lumberlove Cabin,FUNTERZZZ
#QG2GVL0V9,Miraj 17,10363,67,Lumberlove Cabin,CR_INDIA
#QJYVV82V,[CR]~DEADLORD,10422,69,Lumberlove Cabin,Bharat army
#8CQ290QLU,*ZIBRAIL*,10566,68,Royal Road,CR_INDIA
#8Y98C8CL,JweL!N,10348,68,Lumberlove Cabin,CR_INDIA
#8GLQCJYUR,j star,10206,68,Lumberlove Cabin,CR_INDIA
#J0G0U8J9P,RAGNAR,10267,66,Lumberlove Cabin,No Clan
#PJ9GUPR,KARMA,10000,56,Lumberlove Cabin,#hindustan
#20LPVJ0C,rahul,10292,69,Lumberlove Cabin,CR_INDIA
#RQ92L8U,SUNIL,10000,74,Lumberlove Cabin,#InDiAn EliTes
#GQGYCPVVQ,V. I. P,10065,60,Lumberlove Cabin,CR_INDIA
#P98GP029G,ASH,10209,68,Lumberlove Cabin,CR_INDIA
